Account (cleansed),Name (Cleansed),FIN.POSTING DATE,MCH.MERCHANT NAME,MCH.MCC DESCRIPTION,FIN.TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,FIN.ACCOUNTING CODE 03 DESCRIPTION,FIN.ACCOUNTING CODE 05 VALUE,MCH.ADDRESS,MCH.CITY NAME,MCH.COUNTRY CODE,MCH.STATE / PROVINCE,MCH.MERCHANT POSTAL CODE,ACC.REPORTS TO INTERMEDIATE LEVEL 1 NAME LINE 1,ACC.REPORTS TO INTERMEDIATE LEVEL 2 NAME LINE 1,ACC.ACCOUNT STATUS DESCRIPTION,FIN.TRANSACTION DATE,Employee ID (cleansed)
1068,Name207,01/04/2021,GOOGLE *ADS2146341906,ADVERTISING SERVICES,500.00,.00,10-162-32300,60199,1600 AMPHITHEATRE PKWY,CC@GOOGLE.COM,USA,CA,94043,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/03/2021,Emp997
1074,Name504,01/04/2021,SPORTSNET USA,DIGITAL GOODS SOFTWARE APPLICATIONS,119.00,.00,10-122-43034,65500,262 WEST 460 SOUTH,OREM,USA,UT,84058,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,12/31/2020,Emp826
1074,Name504,01/04/2021,SPORTSNET USA,DIGITAL GOODS SOFTWARE APPLICATIONS,139.00,.00,10-122-43034,65500,262 WEST 460 SOUTH,OREM,USA,UT,84058,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,12/31/2020,Emp826
1258,Name264,01/04/2021,AUTHORIZE.NET,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,20.00,.00,10-120-12600,60199,PO BOX 8999 MC M3 - 6NE,SAN FRANCISCO,USA,CA,94128,PERFORMANCE HALL MANAGEMENT,AUGUSTANA COLLEGE,ACTIVE,01/01/2021,Emp963
1258,Name264,01/04/2021,LIVE CHAT,COMPUTER NETWORK/INFORMATION SERVICES,117.00,.00,10-120-12600,60199,101 ARCH ST,617-275-2400,USA,MA,02110,PERFORMANCE HALL MANAGEMENT,AUGUSTANA COLLEGE,ACTIVE,01/03/2021,Emp963
1343,Name356,01/04/2021,AMAZON WEB SERVICES,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,208.61,.00,10-162-32300,67002,440 TERRY AVE N,AWS.AMAZON.CO,USA,WA,98109,OFFICE OF COMMUNICATIONS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/03/2021,Emp979
1057,Name316,01/04/2021,STREAMYARD.COM,COMPUTER SOFTWARE STORES,25.00,.00,16-152-18305,61536,8101 SOUTHWEST NYBERG STR,8552223704,USA,OR,97062,WVIK,AUGUSTANA COLLEGE,ACTIVE,01/02/2021,Emp883
1020,Name282,01/04/2021,FACEBK *5CKG6XN552,ADVERTISING SERVICES,210.00,.00,12-133-22700,60000,1601 WILLOW RD,FB.ME/ADS,USA,CA,94025,ENTREPRENAURIAL,AUGUSTANA COLLEGE,ACTIVE,12/31/2020,Emp736
1025,Name253,01/04/2021,COMCAST CHICAGO,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS",88.40,.00,10-131-20701,63001,1500 MC CONNOR PKWY,800-266-2278,USA,IL,60173,ADMISSIONS,LF FINAIDADMISSIONS,LOST/STOLEN,01/03/2021,Emp913
1045,Name414,01/04/2021,PAYPAL *49PM,DIGITAL GOODS SOFTWARE APPLICATIONS,35.00,.00,10-131-20700,62110,7700 EASTPORT PARKWAY,4029357733,USA,CA,95131,MUSIC,AUGUSTANA COLLEGE,ACTIVE,01/01/2021,Emp799
1233,Name438,01/04/2021,NAGT.ORG,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",75.00,.00,10-101-02700,60199,"ONE NORTH COLLEGE STREET,",NORTHFIELD,USA,MN,55057,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/01/2021,Emp742
1351,Name322,01/04/2021,VAN METER INC - DEVENP,ELECTRICAL PARTS AND EQUIPMENT,26.00,.00,10-170-25300,64000,5775 TREMONT AVE,5633239721,USA,IA,52807,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/01/2021,Emp705
1278,Name346,01/04/2021,28 - LOU MALNATIS PIZZ,"EATING PLACES, RESTAURANTS",45.79,.00,10-131-20700,62005,1520 N DAMEN AVE STE A2,CHICAGO,USA,IL,60622,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/02/2021,Emp902
1334,Name299,01/04/2021,DIGITAL MORTAR,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",24.00,.00,10-143-51900,67002,1005 A STREETSUITE 414,SAN RAFAEL,USA,CA,94901,DINING SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/01/2021,Emp976
1102,Name250,01/04/2021,CENTURYLINK,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS",140.07,.00,15-152-18311,66028,100 CENTURYLINK DR,800-244-1111,USA,LA,71203,WVIK,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/02/2021,Emp714
1001,Name220,11/17/2021,,,-353055.42,.00,,,,,,,,AUGUSTANA COLLEGE,AUGUSTANA COLLEGE,ACTIVE,11/17/2021,#N/A
1135,Name516,01/05/2021,EHRLICH,EXTERMINATING AND DISINFECTING SERVICES,89.00,.00,10-141-50700,64001,1125 BERKSHIRE BLVD STE 1,READING,USA,PA,19610,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp806
1279,Name379,01/05/2021,AMAZON PRIME*2E3JK9H93,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,12.99,.00,11-135-22400,60000,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,OFC OF STUDENT LIFE,AUGUSTANA COLLEGE,LOST/STOLEN,01/04/2021,Emp740
1097,Name265,01/05/2021,DOWCO VALVE COMPANY,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",2394.08,.00,10-170-25600,64002,700 SPIRAL BLVD,651-4382600,USA,MN,55033,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp704
1098,Name285,01/05/2021,HANDY TRUE VALUE HARDW,HARDWARE STORES,11.01,.00,10-170-25100,61503,1435 3OTH ST,ROCK ISLAND,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp707
1099,Name254,01/05/2021,REI*PAYMENT CENTER,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,458.00,.00,10-161-32000,66024,9393 SPRINGBORO PIKE,800-227-9597,USA,OH,45342,ADVANCEMENT,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp708
1126,Name203,01/05/2021,WESTERN STRUCTURAL COM,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,507.20,.00,10-163-33300,61541,3201 4TH AVE,309-7643523,USA,IL,61265-1604,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp785
1155,Name428,01/05/2021,KANOPY INC.,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",1087.50,.00,09-221-82999,65508,7700 EASTPORT PARKWAY,4159265293,USA,CA,94123,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp820
1135,Name516,01/05/2021,REPUBLIC SERVICES TRAS,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",110.93,.00,10-142-59999,64006,18500 N. ALLIED WAY,8665765548,USA,AZ,85054,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp806
1135,Name516,01/05/2021,REPUBLIC SERVICES TRAS,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",144.58,.00,10-170-25100,64006,18500 N. ALLIED WAY,8665765548,USA,AZ,85054,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp806
1135,Name516,01/05/2021,EHRLICH,EXTERMINATING AND DISINFECTING SERVICES,194.00,.00,10-142-56999,64001,1125 BERKSHIRE BLVD STE 1,READING,USA,PA,19610,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp806
1175,Name298,01/05/2021,AMZN MKTP US*W02FZ9J73,BOOK STORES,38.51,.00,10-101-03300,60199,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,MATHEMATICS,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp931
1155,Name428,01/05/2021,AMAZON.COM*281XN4CG3,BOOK STORES,132.43,.00,10-121-17000,65503,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp820
1155,Name428,01/05/2021,KANOPY INC.,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",572.50,.00,09-221-82999,65508,7700 EASTPORT PARKWAY,4159265293,USA,CA,94123,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp820
1157,Name469,01/05/2021,HANDY TRUE VALUE HARDW,HARDWARE STORES,54.25,.00,10-170-25400,65500,1435 3OTH ST,ROCK ISLAND,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,LOST/STOLEN,01/04/2021,Emp823
1275,Name311,01/05/2021,"THE SPORTS DEPOT, INC.",SPORTING GOODS STORES,10.85,.00,10-122-43050,65500,1316 30TH STREET,ROCK ISLAND,USA,IL,61201,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp831
1277,Name529,01/05/2021,AMZN MKTP US*IK8424143,BOOK STORES,3.34,.00,10-145-52200,12002,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp795
1277,Name529,01/05/2021,AMZN MKTP US*IK8424143,BOOK STORES,3.99,.00,10-145-52200,61001,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp795
1277,Name529,01/05/2021,2CO.COM*GALAXY,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",59.80,.00,10-145-52200,12000,VERSA GRANDVIEW 1201,650-249-5280,USA,OH,43215,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp795
1277,Name529,01/05/2021,2CO.COM*GALAXY,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",3.85,.00,10-145-52200,61001,VERSA GRANDVIEW 1201,650-249-5280,USA,OH,43215,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp795
1277,Name529,01/05/2021,MEP/SCHOENHOFS/EUROPA,"BOOKS,PERIODICALS AND NEWSPAPERS",62.16,.00,10-145-52200,12002,8154 RIDGEWAY,847-676-1596,USA,IL,60076,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp795
1277,Name529,01/05/2021,MEP/SCHOENHOFS/EUROPA,"BOOKS,PERIODICALS AND NEWSPAPERS",10.78,.00,10-145-52200,61001,8154 RIDGEWAY,847-676-1596,USA,IL,60076,BOOKSTORE,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp795
1356,Name334,01/05/2021,ARTHUR'S GARDEN DELI,FAST FOOD RESTAURANTS,202.21,.00,10-131-20700,62005,3727 BLACKHAWK RD,ROCK ISLAND,USA,IL,61201,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/04/2021,Emp835
1057,Name316,01/05/2021,SUB*WASHPOST*024486052,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,10.00,.00,16-152-18305,61536,1301 K ST NW,800-477-4679,USA,DC,20071,WVIK,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp883
1354,Name386,01/05/2021,CDW GOVT #6132377,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",28.86,.00,10-123-12000,65500,200 N MILWAUKEE AVE.,800-808-4239,USA,IL,60061,INFORMATION TECHNOLOGY SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp837
1011,Name420,01/05/2021,X-GRAIN/HERO247,MISCELLANEOUS PUBLISHING AND PRINTING,700.00,28.00,10-170-25800,61501,8667 KAPP DRIVE,5636904335,USA,IA,52068,PUBLIC SAFETY,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp893
1020,Name282,01/05/2021,DNH*GODADDY.COM,COMPUTER NETWORK/INFORMATION SERVICES,136.70,.00,12-133-22700,60000,14455 N HAYDEN RD STE 219,480-505-8855,USA,AZ,85260,ENTREPRENAURIAL,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp736
1322,Name507,01/05/2021,ILSOS INT VEH RENEWAL,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,154.40,9.26,10-163-30300,61507,501 S SECOND ST,8667566041,USA,IL,62756,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/04/2021,Emp719
1322,Name507,01/05/2021,ILSOS INT VEH RENEWAL,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,154.40,9.26,10-170-25800,60000,501 S SECOND ST,8667566041,USA,IL,62756,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/04/2021,Emp719
1322,Name507,01/05/2021,ILSOS INT VEH RENEWAL,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,154.40,9.26,10-170-25800,60000,501 S SECOND ST,8667566041,USA,IL,62756,CLOSED CARDS,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/04/2021,Emp719
1351,Name322,01/05/2021,GRAINGER,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,99.69,.00,10-170-25300,64000,100 GRAINGER PKWY,877-2022594,USA,IL,60045-5202,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp705
1351,Name322,01/05/2021,GRAINGER,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,99.69,.00,10-170-25300,64000,100 GRAINGER PKWY,877-2022594,USA,IL,60045-5202,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp705
1249,Name219,01/05/2021,SQ *BRANCH DESIGN CO.,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",75.00,5.56,10-130-20000,60022,840 PONTIAC COURT,GOSQ.COM,USA,IL,60502,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/04/2021,Emp958
1135,Name516,01/05/2021,EHRLICH,EXTERMINATING AND DISINFECTING SERVICES,42.00,.00,10-142-56999,64001,1125 BERKSHIRE BLVD STE 1,READING,USA,PA,19610,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp806
1001,Name220,12/17/2021,,,-343743.50,.00,,,,,,,,AUGUSTANA COLLEGE,AUGUSTANA COLLEGE,ACTIVE,12/17/2021,#N/A
1017,Name369,01/06/2021,PAYPAL *PASSION4BAL,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",275.00,.00,10-122-47000,60000,7700 EASTPORT PARKWAY,4029357733,USA,AZ,85250,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/05/2021,Emp927
1017,Name369,01/06/2021,PAYPAL *PASSION4BAL,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",275.00,.00,10-122-43000,60000,7700 EASTPORT PARKWAY,4029357733,USA,AZ,85250,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/05/2021,Emp927
1020,Name282,01/06/2021,DNH*GODADDY.COM,COMPUTER NETWORK/INFORMATION SERVICES,60.85,.00,12-133-22700,60000,14455 N. HAYDEN RD,480-5058855,USA,AZ,85260,ENTREPRENAURIAL,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp736
1335,Name502,01/06/2021,DOMINO'S 2741,FAST FOOD RESTAURANTS,52.91,4.05,10-131-20700,62004,3708 14TH AVE,563-513-7626,USA,IL,61201,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp940
1052,Name281,01/06/2021,DOORDASH*JIMMY JOHNS S,"EATING PLACES, RESTAURANTS",37.98,.00,10-130-21700,60000,303 2ND STREETSUITE 800,SAN FRANCISCO,USA,CA,94107,PEPSICO,AUGUSTANA COLLEGE,LOST/STOLEN,01/05/2021,Emp702
1078,Name509,01/06/2021,BP#662259134466 7-EQPS,"FUEL DISPENSER, AUTOMATED",40.15,3.15,10-131-20700,62004,4720 27TH STREET,MOLINE,USA,IL,61265,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp729
1031,Name471,01/06/2021,AMZN DIGITAL*V78WL5CJ3,DIGITAL GOODS MULTI CATEGORY,33.00,.00,10-101-02500,61508,440 TERRY AVE N,888-802-3080,USA,WA,98109,GEOGRAPHY,SWENSON GEO SCIENCE,ACTIVE,01/05/2021,Emp745
1078,Name509,01/06/2021,PHILLIPS 66 - OLIVE 66,"FUEL DISPENSER, AUTOMATED",41.81,.00,10-131-20700,62004,8341 OLIVE BLVD,SAINT LOUIS,USA,MO,63132,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp729
1037,Name511,01/06/2021,RI CITY HALL 5,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",163.80,.00,10-170-25800,60199,1528 3RD AVENUE,309-732-2000,USA,IL,61201,PUBLIC SAFETY,AUGUSTANA COLLEGE,ACTIVE,01/06/2021,Emp706
1291,Name465,01/06/2021,SP * CULTURE-HUSTLE-US,MISCELLANEOUS GENERAL MERCHANDISE,51.97,.00,09-222-83000,65502,23 WENLOCK ROAD,LONDON,GBR,LND,N1 7SB,CLOSED CARDS,AUGUSTANA COLLEGE,LOST/STOLEN,01/05/2021,Emp748
1078,Name509,01/06/2021,ENTERPRISE RENT-A-CAR,ENTERPRISE RENT-A-CAR,38.16,.00,10-131-20700,62004,3401 16TH STREET,MOLINE,USA,IL,61265,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp729
1078,Name509,01/06/2021,MCDONALD'S F36553,FAST FOOD RESTAURANTS,8.92,.00,10-131-20700,62004,9191 STATE RD 140,HAMEL,USA,IL,62046,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/04/2021,Emp729
1215,Name273,01/06/2021,AMAZON.COM*PU9ON7FI3,BOOK STORES,25.67,1.68,10-101-02100,60199,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,ENGLISH,AUGUSTANA COLLEGE,ACTIVE,01/06/2021,Emp761
1311,Name424,01/06/2021,BETTENDORF OFFICE PROD,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",130.37,.00,10-143-51900,61507,3280 MIDDLE RD,BETTENDORF,USA,IA,52722,DINING SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp875
1344,Name231,01/06/2021,ZOOM.US 888-799-9666,TELECOM INCL PREPAID/RECURRING PHONE SVCS,149.90,.00,10-131-20700,62005,55 ALMADEN BOULEVARD,8887999666,USA,CA,95113,ATHLETICS,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp960
1070,Name431,01/06/2021,AMAZON.COM*Q79WR0TW3,BOOK STORES,16.04,1.05,10-101-02100,60199,440 TERRY AVE N,AMZN.COM/BILL,USA,WA,98109,ENGLISH,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp819
1097,Name265,01/06/2021,ROCK ISLAND ELECTRIC M,ELECTRICAL CONTRACTORS,100.27,.00,10-170-25400,64000,211 31ST AVE,ROCK ISLAND,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1097,Name265,01/06/2021,PRAXAIR DIST INC OAM,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,179.39,.00,10-170-25400,64012,2301 SE CREEKVIEW DR,5159656633,USA,IA,50021,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1097,Name265,01/06/2021,4TE*KIRBY WATER CONDIT,PLUMBING AND HEATING EQUIPMENT,28.00,.00,10-170-25600,65005,200 S 14TH AVE,563-285-8141,USA,IA,52748,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1170,Name224,01/06/2021,INQUIREHIRE   00 OF 00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,508.85,.00,10-163-30400,62054,320 LECLAIRE ST,563-3235922,USA,IA,52801-1746,HUMAN RESOURCES,AUGUSTANA COLLEGE,ACCOUNT CLOSED,01/04/2021,Emp936
1097,Name265,01/06/2021,4TE*KIRBY WATER CONDIT,PLUMBING AND HEATING EQUIPMENT,28.00,.00,10-170-25600,65005,200 S 14TH AVE,563-285-8141,USA,IA,52748,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1097,Name265,01/06/2021,4TE*KIRBY WATER CONDIT,PLUMBING AND HEATING EQUIPMENT,28.00,.00,10-170-25600,65005,200 S 14TH AVE,563-285-8141,USA,IA,52748,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1097,Name265,01/06/2021,BLAIN'S FARM & FLEET,MISCELLANEOUS AND SPECIALTY RETAIL STORES,91.69,.00,10-170-25400,65500,3507 E. RACINE ST.,6087542821,USA,WI,53547,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp704
1111,Name501,01/06/2021,MY TRIBUTE GIFT FOUNDA,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",100.00,.00,10-101-02200,61500,8505 DUNWOODY PL BLD,855-3558141,USA,GA,30350-3330,BIOLOGY,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp752
1135,Name516,01/06/2021,OFFICEMAX/DEPOT 6195,DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH.,68.40,5.36,10-170-25000,61507,4215 27TH ST,800-463-3768,USA,IL,61265,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp806
1155,Name428,01/06/2021,KANOPY INC.,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",150.00,.00,09-221-82999,65508,7700 EASTPORT PARKWAY,4159265293,USA,CA,94123,LIBRARY,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp820
1157,Name469,01/06/2021,HANDY TRUE VALUE HARDW,HARDWARE STORES,83.07,.00,10-170-25400,64000,1435 3OTH ST,ROCK ISLAND,USA,IL,61201,FACILITIES SERVICES,AUGUSTANA COLLEGE,LOST/STOLEN,01/05/2021,Emp823
1190,Name352,01/06/2021,QC POWER EQUIPMENT INC,LAWN AND GARDEN SUPPLY STORES,1170.00,.00,10-170-25700,61500,226 E 35TH ST,DAVENPORT,USA,IA,52806,FACILITIES SERVICES,AUGUSTANA COLLEGE,ACTIVE,01/05/2021,Emp1007
