time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-25T03:38:56.773Z,23.8842,-108.662,8.88,5.4,mww,,95,4.072,1.03,us,us6000eytv,2021-10-03T05:21:51.040Z,"99 km ENE of La Rivera, Mexico",earthquake,8.3,3.6,0.037,70,reviewed,us,us
2021-07-18T06:46:12.650Z,40.3235,-124.4255,30.91,5.12,mw,35,234,0.07243,0.17,nc,nc73594531,2021-11-07T06:56:23.408Z,"12km W of Petrolia, CA",earthquake,0.86,0.49,,6,reviewed,nc,nc
2021-07-09T01:46:00.400Z,38.5086667,-119.5343333,3.71,4.55,mw,48,88,0.07555,0.1,nc,nc73585291,2021-09-17T22:48:30.040Z,"30km SE of Markleeville, CA",earthquake,0.17,0.38,,5,reviewed,nc,nc
2021-07-08T23:33:40.900Z,38.4796667,-119.5448333,1.58,4.63,mw,38,77,0.08722,0.08,nc,nc73585021,2021-09-10T20:06:58.040Z,"29km ENE of Dardanelle, CA",earthquake,0.12,0.53,,6,reviewed,nc,nc
2021-07-08T22:50:14.370Z,38.5126667,-119.5021667,7.4,5.03,ml,6,124,0.05088,0.07,nc,nc71123379,2021-09-10T20:06:58.040Z,"32km SE of Markleeville, CA",earthquake,0.42,0.56,0.086,3,reviewed,nc,nc
2021-07-08T22:49:48.110Z,38.5075,-119.4998333,7.45,6,mw,42,100,0.04846,0.06,nc,nc73584926,2021-11-04T23:00:00.234Z,"Antelope Valley, CA",earthquake,0.14,0.25,,0,reviewed,nc,nc
2021-06-20T10:42:01.885Z,25.7279,-109.9859,10,4.6,mb,,184,2.568,1.03,us,us7000een4,2021-08-27T18:57:47.040Z,"67 km WSW of Las Grullas Margen Derecha, Mexico",earthquake,7.2,1.7,0.141,15,reviewed,us,us
2021-06-05T17:55:58.820Z,33.14,-115.6348333,5.78,5.25,mw,84,33,0.04069,0.23,ci,ci39919392,2021-11-06T18:06:01.768Z,"11km W of Calipatria, CA",earthquake,0.17,0.41,,6,reviewed,ci,ci
2021-06-04T19:28:11.720Z,42.3068,-126.2266,10,4.7,mwr,,180,1.697,0.71,us,us7000e9t0,2021-08-24T21:35:42.040Z,"149 km W of Gold Beach, Oregon",earthquake,7.9,1.9,0.03,108,reviewed,us,us
2021-06-04T08:17:00.663Z,42.2405,-126.218,13.91,5.9,mww,,75,1.715,0.92,us,us7000e9mr,2021-10-02T18:33:14.382Z,"149 km W of Gold Beach, Oregon",earthquake,6.6,3.4,0.03,107,reviewed,us,us
2021-06-04T07:52:43.544Z,42.2881,-126.2778,16.57,5.9,mww,,74,1.739,0.84,us,us7000e9mg,2021-11-05T08:02:58.128Z,"153 km W of Gold Beach, Oregon",earthquake,5.4,2.8,0.03,108,reviewed,us,us
2021-05-23T21:11:10.834Z,25.6855,-110.1543,10,4.6,mb,,126,1.009,0.72,us,us7000e5la,2021-07-31T22:09:02.040Z,"84 km W of Campo Pesquero el Colorado, Mexico",earthquake,5.5,1.9,0.039,195,reviewed,us,us
2021-05-07T04:35:14.150Z,39.461,-120.3145,10.12,4.65,mw,19,50,0.03461,0.09,nc,nc73559265,2021-09-21T01:40:57.403Z,"19km NW of Truckee, CA",earthquake,0.24,0.54,,3,reviewed,nc,nc
2021-04-29T10:58:33.219Z,43.8937,-128.4355,10,5.3,mww,,70,3.177,1.34,us,us7000dyid,2021-11-04T11:08:45.867Z,"off the coast of Oregon",earthquake,6.5,1.8,0.028,125,reviewed,us,us
2021-04-29T10:35:45.108Z,43.871,-128.4099,10,5.2,mww,,68,3.158,1.18,us,us7000dyib,2021-07-07T18:37:41.040Z,"off the coast of Oregon",earthquake,8,1.8,0.029,111,reviewed,us,us
2021-04-29T10:30:23.208Z,43.8194,-128.0455,10,5.4,mww,,202,2.895,1.12,us,us7000dyia,2021-11-04T10:40:27.542Z,"off the coast of Oregon",earthquake,11,2,0.026,145,reviewed,us,us
2021-04-04T18:43:27.187Z,24.0532,-108.6576,10,5.4,mww,,160,2.777,1.25,us,us6000dyzk,2021-06-12T21:37:08.040Z,"97 km SW of Altata, Mexico",earthquake,5,1.9,0.04,60,reviewed,us,us
2021-04-01T00:26:12.268Z,29.7511,-113.9179,11.06,4.8,mwr,,92,1.514,0.61,us,us6000dy35,2021-06-08T17:59:28.040Z,"119 km W of La Libertad, Mexico",earthquake,6.6,4.5,0.038,68,reviewed,us,us
2021-03-31T08:56:25.940Z,32.3903333,-115.2498333,19.22,4.75,mw,54,71,0.05499,0.32,ci,ci39596135,2021-06-08T17:59:22.040Z,"7km NW of Delta, B.C., MX",earthquake,0.46,0.94,,6,reviewed,ci,ci
2021-03-30T15:51:23.240Z,40.3685,-125.1813333,9.72,4.69,mw,38,282,0.6462,0.28,nc,nc73541781,2021-06-08T17:59:13.040Z,"76km W of Petrolia, CA",earthquake,1.81,31.61,,4,reviewed,nc,nc
2021-02-20T21:22:34.963Z,43.6654,-128.1423,10,4.9,mww,,171,2.435,0.68,us,us6000djrq,2021-05-04T14:15:32.040Z,"off the coast of Oregon",earthquake,7.9,1.9,0.047,43,reviewed,us,us
2021-02-20T21:15:53.971Z,43.669,-127.92,10,5.1,mww,,188,2.51,0.61,us,us6000djrl,2021-11-06T21:26:08.260Z,"290 km W of Bandon, Oregon",earthquake,7.2,1.8,0.045,47,reviewed,us,us
2021-01-27T16:25:17.269Z,40.5301,-127.0419,10,4.6,mwr,,128,2.062,0.56,us,us7000d3rk,2021-04-13T17:05:37.040Z,"235 km W of Ferndale, California",earthquake,9,1.9,0.026,137,reviewed,us,us
2021-01-20T14:59:43.686Z,26.5941,-110.9635,10,4.7,mb,,78,1.35,0.63,us,us7000d1nc,2021-03-27T21:05:43.040Z,"75 km NNE of Loreto, Mexico",earthquake,6.1,1.8,0.048,136,reviewed,us,us
2020-12-29T07:10:29.079Z,43.389,-126.9951,10,5.7,mww,,99,2.171,1.31,us,us6000d3xn,2021-11-09T07:20:37.972Z,"212 km W of Bandon, Oregon",earthquake,7,1.8,0.026,143,reviewed,us,us
2020-12-25T17:13:47.265Z,50.6013,-130.1077,10,4.7,mwr,,125,1.258,1.01,us,us6000d2zn,2021-03-09T18:33:28.040Z,"213 km W of Port McNeill, Canada",earthquake,4.4,1.6,0.089,12,reviewed,us,us
2020-12-14T21:20:10.831Z,38.1554,-118.1231,5.2,4.7,ml,33,42.76,0.056,0.1432,nn,nn00792158,2021-02-20T16:12:06.040Z,"26 km S of Mina, Nevada",earthquake,,1.8,0.51,12,reviewed,nn,nn
2020-12-12T07:50:52.930Z,38.1497,-118.1008,6.4,4.9,ml,30,43.01,0.04,0.1745,nn,nn00791435,2021-02-20T16:11:27.040Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.2,13,reviewed,nn,nn
2020-12-03T05:15:29.993Z,38.175,-118.0654,5,4.9,ml,30,41.69,0.018,0.1367,nn,nn00788443,2021-02-12T22:38:31.040Z,"24 km S of Mina, Nevada",earthquake,,0.8,0.25,13,reviewed,nn,nn
2020-12-01T23:32:56.573Z,38.1637,-118.0837,5,5.1,ml,21,42.28,0.025,0.1986,nn,nn00787105,2021-02-06T18:29:35.040Z,"25 km S of Mina, Nevada",earthquake,,2.5,0.25,11,reviewed,nn,nn
2020-11-13T09:13:51.862Z,38.1693,-117.8533,4.8,5.3,ml,34,38.45,0.016,0.1165,nn,nn00782942,2021-04-27T07:04:53.937Z,"33 km SE of Mina, Nevada",earthquake,,0.6,0.23,13,reviewed,nn,nn
2020-10-24T10:11:07.260Z,25.7224,-110.1051,10,4.6,mb,,130,0.968,0.93,us,us6000ccj8,2021-01-09T20:05:23.040Z,"78 km WSW of Las Grullas Margen Derecha, Mexico",earthquake,3.1,1.9,0.055,99,reviewed,us,us
2020-10-19T06:25:24.324Z,24.3482,-109.0131,10,4.6,mb,,185,3.972,1.08,us,us6000c9bs,2020-12-29T23:07:38.040Z,"101 km NE of Los Barriles, Mexico",earthquake,9.4,1.9,0.041,177,reviewed,us,us
2020-10-05T10:47:32.257Z,47.5671,-128.9743,10,4.6,mwr,,107,1.824,0.97,us,us6000c5n5,2020-12-12T22:28:40.040Z,"287 km SW of Tofino, Canada",earthquake,6.7,1.7,,,reviewed,us,pgc
2020-10-01T00:31:27.280Z,33.0546667,-115.5906667,14.19,4.93,mw,92,46,0.01794,0.28,ci,ci39641528,2021-08-17T20:36:55.710Z,"4km NE of Westmorland, CA",earthquake,0.2,0.44,,7,reviewed,ci,ci
2020-09-24T23:06:42.138Z,27.0779,-111.2685,10,4.6,mb,,112,0.899,0.93,us,us6000c0xh,2020-12-05T21:02:57.040Z,"73 km ENE of Mulegé, Mexico",earthquake,6.9,1.9,0.057,90,reviewed,us,us
2020-09-24T23:01:30.369Z,27.1573,-111.4068,10,5.3,mww,,125,0.76,0.66,us,us6000c0ww,2020-12-05T21:02:57.040Z,"64 km ENE of Mulegé, Mexico",earthquake,7.3,1.9,0.046,45,reviewed,us,us
2020-09-19T06:38:46.930Z,34.038,-118.08,16.87,4.54,mw,236,16,0.01273,0.25,ci,ci38695658,2021-09-04T16:56:09.816Z,"3km WSW of South El Monte, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2020-08-19T17:32:11.070Z,36.4786667,-117.5141667,-0.57,4.72,mw,53,48,0.2161,0.17,ci,ci39584648,2020-10-31T19:06:08.040Z,"36km WSW of Stovepipe Wells, CA",earthquake,0.15,0.45,,6,reviewed,ci,ci
2020-08-17T15:31:39.571Z,31.4138,-115.7552,10,4.5,mb,,229,0.611,0.47,us,us6000bg04,2020-10-24T20:08:59.040Z,"47 km ENE of San Vicente, Mexico",earthquake,2.7,1.8,0.27,5,reviewed,us,us
2020-08-17T15:30:33.530Z,31.5366667,-115.6613333,16.22,5.12,mw,42,231,0.5267,0.34,ci,ci39347679,2021-05-26T02:50:04.036Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.72,0.81,,6,reviewed,ci,ci
2020-08-10T15:56:14.330Z,33.2468333,-115.69,2.07,4.59,mw,86,40,0.08504,0.29,ci,ci39338407,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.21,31.61,,7,reviewed,ci,ci
2020-07-22T11:33:24.746Z,49.0995,-129.0303,10,5,mwr,,79,1.648,0.68,us,us7000at13,2020-10-04T17:50:53.470Z,"216 km SW of Port McNeill, Canada",earthquake,6.7,1.8,0.056,31,reviewed,us,us
2020-07-06T06:12:54.847Z,38.1856,-117.8907,5.6,4.5,ml,30,48.55,0.028,0.157,nn,nn00757297,2020-09-11T22:14:19.040Z,"29 km SE of Mina, Nevada",earthquake,,0.7,0.33,10,reviewed,nn,nn
2020-06-30T09:24:23.549Z,38.1539,-117.9583,8.3,5,ml,28,44.32,0.015,0.2511,nn,nn00755218,2020-09-05T17:35:36.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.9,0.28,7,reviewed,nn,nn
2020-06-25T05:20:59.627Z,44.3989,-115.1814,7.54,4.6,mwr,,75,0.34,0.64,us,us7000aanf,2020-10-08T17:26:42.977Z,"27 km NW of Stanley, Idaho",earthquake,2.6,4.7,0.028,119,reviewed,us,us
2020-06-24T17:59:19.960Z,36.456,-117.9311667,9.62,4.59,mw,44,62,0.1212,0.19,ci,ci39494008,2020-09-05T17:35:16.040Z,"19km SE of Lone Pine, CA",earthquake,0.2,0.44,,6,reviewed,ci,ci
2020-06-24T17:40:49.240Z,36.4468333,-117.9751667,4.66,5.8,mw,48,67,0.08494,0.19,ci,ci39493944,2021-09-18T04:39:54.695Z,"18km SSE of Lone Pine, CA",earthquake,0.18,0.66,,6,reviewed,ci,ci
2020-06-23T00:25:46.390Z,36.4466667,-117.984,2.26,4.65,mw,51,74,0.07783,0.22,ci,ci39490952,2021-02-13T00:11:34.391Z,"17km SSE of Lone Pine, CA",earthquake,0.19,0.83,,6,reviewed,ci,ci
2020-06-19T20:42:21.454Z,38.1698,-117.8345,6.5,4.9,ml,21,50.72,0.03,0.1765,nn,nn00750312,2020-08-30T00:00:52.040Z,"34 km SE of Mina, Nevada",earthquake,,0.9,0.22,13,reviewed,nn,nn
2020-06-17T21:08:09.770Z,41.7938,-126.0193,22.03,4.5,mwr,,178,1.365,0.68,us,us6000adrw,2020-08-30T00:00:42.040Z,"144 km WSW of Pistol River, Oregon",earthquake,3.7,4.1,0.022,196,reviewed,us,us
2020-06-08T03:24:05.884Z,38.2059,-117.7912,5.2,4.8,ml,32,32.66,0.041,0.174,nn,nn00744961,2020-08-18T17:59:04.040Z,"34 km SE of Mina, Nevada",earthquake,,1.1,0.46,9,reviewed,nn,nn
2020-06-04T01:32:11.140Z,35.6148333,-117.4281667,8.44,5.51,mw,85,45,0.0396,0.21,ci,ci39462536,2021-10-08T02:11:10.087Z,"17km S of Searles Valley, CA",earthquake,0.15,0.45,,6,reviewed,ci,ci
2020-05-23T02:14:51.372Z,50.4322,-129.5266,10,5.2,mww,,142,0.913,0.95,us,us70009nx6,2020-08-08T18:17:52.040Z,"173 km W of Port McNeill, Canada",earthquake,3.4,1.8,0.037,69,reviewed,us,us
2020-05-22T00:22:00.588Z,38.2309,-117.7939,7.2,5.1,ml,31,47.16,0.092,0.1378,nn,nn00730721,2020-08-08T18:17:48.040Z,"32 km ESE of Mina, Nevada",earthquake,,1.4,0.44,11,reviewed,nn,nn
2020-05-20T12:36:53.447Z,38.2012,-117.7453,11.7,5,ml,20,49.32,0.128,0.1674,nn,nn00729332,2020-08-09T10:22:23.139Z,"38 km ESE of Mina, Nevada",earthquake,,1.3,0.1,4,reviewed,nn,nn
2020-05-19T22:12:45.639Z,38.1755,-117.8535,8.1,4.6,ml,23,47.6,0.091,0.1864,nn,nn00728819,2021-02-10T16:52:07.942Z,"32 km SE of Mina, Nevada",earthquake,,1.7,0.38,10,reviewed,nn,nn
2020-05-19T07:10:10.418Z,40.8267,-127.2626,10,4.6,mb,,121,2.252,1.3,us,us70009ki1,2020-08-02T00:28:22.040Z,"254 km W of Ferndale, California",earthquake,7.1,1.9,0.051,120,reviewed,us,us
2020-05-18T07:02:34.591Z,40.8483,-127.1918,10,5.3,mww,,107,2.202,0.62,us,us70009jgy,2021-05-18T07:12:48.815Z,"249 km W of Ferndale, California",earthquake,7.1,1.8,0.033,87,reviewed,us,us
2020-05-18T06:56:01.579Z,40.7714,-127.2271,10,5,mww,,199,2.219,0.51,us,us70009jgt,2020-08-02T00:28:59.040Z,"251 km W of Ferndale, California",earthquake,8.7,1.9,0.033,86,reviewed,us,us
2020-05-17T21:17:02.474Z,38.1749,-117.8028,10.4,4.7,ml,24,46.81,0.056,0.1201,nn,nn00727561,2021-02-10T16:19:28.315Z,"35 km SE of Mina, Nevada",earthquake,,0.8,0.14,7,reviewed,nn,nn
2020-05-17T11:53:53.336Z,38.15,-117.9553,9.6,4.5,ml,26,51.9,0.012,0.2003,nn,nn00727244,2021-02-10T18:37:20.105Z,"29 km SSE of Mina, Nevada",earthquake,,0.8,0.5,9,reviewed,nn,nn
2020-05-16T11:50:54.310Z,38.2118,-117.7347,16.8,4.6,ml,18,49.8,0.397,0.1743,nn,nn00726353,2021-02-10T17:41:27.152Z,"38 km ESE of Mina, Nevada",earthquake,,0.8,0.26,4,reviewed,nn,nn
2020-05-16T04:12:21.434Z,38.1313,-117.9756,5,4.6,ml,28,43.49,0.333,0.263,nn,nn00726009,2020-08-02T00:30:33.040Z,"31 km SSE of Mina, Nevada",earthquake,,1.4,0.46,10,reviewed,nn,nn
2020-05-15T17:50:16.941Z,38.173,-117.8295,5.8,4.7,ml,15,48.44,0.365,0.1766,nn,nn00725546,2021-04-23T20:19:13.254Z,"34 km SE of Mina, Nevada",earthquake,,3.5,0.28,7,reviewed,nn,nn
2020-05-15T15:23:24.676Z,38.1667,-117.8006,7.6,4.8,ml,14,46.65,0.385,0.1628,nn,nn00725454,2020-08-02T00:31:20.040Z,"36 km SE of Mina, Nevada",earthquake,,4.3,0.32,6,reviewed,nn,nn
2020-05-15T12:00:41.572Z,38.1667,-117.8104,6.3,4.5,ml,17,47.15,0.38,0.1735,nn,nn00725312,2020-08-02T00:31:39.040Z,"36 km SE of Mina, Nevada",earthquake,,2.8,0.33,9,reviewed,nn,nn
2020-05-15T11:52:07.184Z,38.1469,-117.9831,5.8,4.8,ml,17,43.51,0.316,0.1775,nn,nn00725306,2020-08-02T00:31:40.040Z,"29 km SSE of Mina, Nevada",earthquake,,2,0.4,8,reviewed,nn,nn
2020-05-15T11:26:01.747Z,38.1811,-117.8711,6.8,5.1,ml,18,49,0.337,0.2335,nn,nn00725291,2020-08-02T00:31:42.040Z,"31 km SE of Mina, Nevada",earthquake,,8.6,0.42,10,reviewed,nn,nn
2020-05-15T11:18:12.392Z,38.1596,-117.9598,3.8,4.9,ml,14,47.97,0.314,0.178,nn,nn00725284,2020-08-02T00:31:44.040Z,"28 km SSE of Mina, Nevada",earthquake,,4.3,0.43,6,reviewed,nn,nn
2020-05-15T11:03:27.176Z,38.1689,-117.8497,2.7,6.5,ml,27,55.79,0.357,0.2669,nn,nn00725272,2021-05-15T11:13:44.782Z,"Monte Cristo Range, NV Earthquake",earthquake,,2.1,,,reviewed,nn,nn
2020-05-10T22:07:40.370Z,33.0183333,-116.0201667,10.16,4.54,mw,141,21,0.138,0.27,ci,ci38488354,2020-12-05T14:57:36.984Z,"17km SE of Ocotillo Wells, CA",earthquake,0.14,0.48,,6,reviewed,ci,ci
2020-05-10T04:46:01.644Z,49.5422,-127.6367,10,4.8,mwr,,134,1.144,1.27,us,us70009dld,2020-07-29T22:14:26.040Z,"106 km WSW of Vernon, Canada",earthquake,5.3,1.8,,,reviewed,us,pgc
2020-04-11T16:22:50.940Z,38.0421667,-118.758,8.94,4.57,mw,62,89,0.2888,0.1,nc,nc73367575,2021-03-05T23:34:53.941Z,"29km SE of Bodie, CA",earthquake,0.19,1.08,,4,reviewed,nc,nc
2020-04-11T14:36:37.040Z,38.0525,-118.7333333,8.45,5.24,mw,46,97,0.268,0.06,nc,nc73367270,2021-04-11T14:46:53.802Z,"30km SE of Bodie, CA",earthquake,0.21,1.15,,4,reviewed,nc,nc
2020-04-04T01:53:18.920Z,33.4895,-116.5063333,10.45,4.87,mw,175,23,0.07088,0.22,ci,ci39126079,2021-08-05T22:24:31.147Z,"17km ESE of Anza, CA",earthquake,0.1,0.27,,6,reviewed,ci,ci
2020-04-01T00:27:41.034Z,44.3232,-115.1673,10,4.8,mww,,39,0.935,0.81,us,us70008js1,2020-06-21T00:54:27.040Z,"21 km WNW of Stanley, Idaho",earthquake,2.9,1.8,0.11,8,reviewed,us,us
2020-03-31T23:52:30.781Z,44.4646,-115.1175,12.06,6.5,mww,,31,0.885,0.66,us,us70008jr5,2021-05-21T15:51:31.615Z,"Stanley, Idaho",earthquake,8.5,3.8,0.021,212,reviewed,us,us
2020-03-22T16:27:38.070Z,40.4251667,-124.827,12.4,4.78,mw,117,227,0.3769,0.16,nc,nc73357410,2020-06-06T20:54:06.040Z,"47km WNW of Petrolia, CA",earthquake,0.36,0.49,,7,reviewed,nc,nc
2020-03-21T01:33:35.369Z,39.1112,-119.7361,8.4,4.5,ml,31,28.07,0.029,0.1334,nn,nn00719663,2021-08-19T14:27:00.405Z,"5 km NE of Indian Hills, Nevada",earthquake,,1.2,0.38,5,reviewed,nn,nn
2020-03-18T22:08:20.920Z,40.3475,-124.4561667,28.61,5.21,mw,34,248,0.105,0.16,nc,nc73355700,2021-03-18T22:18:33.066Z,"15km W of Petrolia, CA",earthquake,0.78,0.55,,5,reviewed,nc,nc
2020-03-18T19:12:23.610Z,40.751,-112.059,10.65,4.57,mw,39,47,0.02976,0.21,uu,uu60364832,2021-05-05T21:07:00.700Z,"5 km NE of Magna, Utah",earthquake,0.32,0.53,,12,reviewed,uu,uu
2020-03-18T14:02:12.830Z,40.7605,-112.0693333,9.07,4.59,mw,21,58,0.03587,0.19,uu,uu60363822,2020-06-06T20:53:47.040Z,"6 km NNE of Magna, Utah",earthquake,0.39,0.8,,17,reviewed,uu,uu
2020-03-18T13:09:31.530Z,40.751,-112.0783333,11.9,5.7,mw,54,50,0.04022,0.2,uu,uu60363602,2021-10-21T05:29:30.248Z,"5 km NNE of Magna, Utah",earthquake,0.3,0.39,,0,reviewed,uu,uu
2020-03-09T06:32:59.890Z,40.3648333,-125.1431667,7.2,4.94,mw,16,321,0.6168,0.19,nc,nc73351825,2020-05-23T22:03:20.040Z,"73km W of Petrolia, CA",earthquake,1.54,1.86,,4,reviewed,nc,nc
2020-03-09T02:59:08.860Z,40.3916667,-125.0936667,3.19,5.77,mw,40,277,0.5832,0.29,nc,nc73351710,2021-03-09T03:09:16.376Z,"69km W of Petrolia, CA",earthquake,0.99,1.38,,4,reviewed,nc,nc
2020-03-07T03:52:03.180Z,31.6893333,-114.5405,9.98,5.49,mw,13,106,0.3208,0.35,ci,ci38385946,2020-12-29T17:53:39.882Z,"71km SE of Estacion Coahuila, B.C., MX",earthquake,0.78,31.61,,6,reviewed,ci,ci
2020-02-19T21:38:00.691Z,43.677,-128.5221,9.84,4.9,mww,,173,2.311,0.76,us,us70007t8b,2020-05-09T21:41:01.040Z,"off the coast of Oregon",earthquake,8,1.7,0.038,67,reviewed,us,us
2020-02-15T21:23:41.230Z,25.0563,-109.6626,10,4.6,mb,,111,1.117,0.82,us,us70007r0d,2020-05-02T22:09:55.040Z,"85 km SSW of Campo Pesquero el Colorado, Mexico",earthquake,6.6,1.9,0.08,46,reviewed,us,us
2020-02-14T11:17:05.412Z,51.5494,-130.9734,10,4.6,mwr,,152,0.757,1.06,us,us70007pya,2020-05-02T22:09:49.040Z,"292 km WNW of Port McNeill, Canada",earthquake,6.2,1.9,0.068,21,reviewed,us,us
2020-02-08T15:34:55.768Z,43.2676,-126.9015,10,4.6,mb,,179,2.125,1.02,us,us70007lj1,2020-04-25T22:18:46.040Z,"203 km W of Langlois, Oregon",earthquake,7.9,1.9,0.054,103,reviewed,us,us
2020-01-25T03:03:34.920Z,35.0975,-116.9696667,3.07,4.62,mw,46,33,0.2228,0.14,ci,ci39281440,2021-03-20T23:26:23.039Z,"23km NNE of Barstow, CA",earthquake,0.14,0.66,,6,reviewed,ci,ci
2020-01-24T21:35:29.100Z,48.5488,-125.1845,10,4.5,mwr,,57,0.286,1.16,us,us60007f42,2020-04-11T18:20:45.040Z,"46 km WNW of Neah Bay, Washington",earthquake,3.6,1.8,0.05,39,reviewed,us,us
2020-01-08T20:20:41.902Z,50.9158,-129.9784,10,4.6,mwr,,151,1.203,0.51,us,us70006wis,2020-04-02T21:27:53.040Z,"207 km W of Port McNeill, Canada",earthquake,7.9,1.9,,,reviewed,us,pgc
2019-12-28T11:03:48.489Z,42.0188,-126.1219,10,4.5,mb,,251,1.423,1.05,us,us70006rvc,2020-06-18T01:24:17.827Z,"145 km WSW of Pistol River, Oregon",earthquake,7.8,2,0.06,80,reviewed,us,us
2019-12-28T10:24:59.512Z,42.0357,-126.1113,10,4.5,mb,,231,1.413,1.09,us,us70006rv7,2020-03-14T22:23:58.040Z,"144 km WSW of Pistol River, Oregon",earthquake,3.6,2,0.05,119,reviewed,us,us
2019-12-25T20:38:52.559Z,50.9158,-130.2782,10,4.5,mb,,148,1.389,1.34,us,us70006r1m,2020-03-14T22:24:43.040Z,"228 km W of Port McNeill, Canada",earthquake,5.8,1.9,0.032,280,reviewed,us,us
2019-12-25T03:36:01.626Z,50.6106,-129.963,6.58,6.3,mww,,77,1.853,0.67,us,us70006qt7,2020-03-14T22:25:03.040Z,"203 km W of Port McNeill, Canada",earthquake,7.2,1.3,0.032,95,reviewed,us,us
2019-12-23T23:38:28.951Z,50.6964,-129.7652,10,4.9,mwr,,138,1.04,0.74,us,us70006qcr,2020-03-07T17:47:54.040Z,"Vancouver Island, Canada region",earthquake,5.4,1.9,,,reviewed,us,pgc
2019-12-23T20:56:23.555Z,50.5169,-129.7573,10,6,mww,,99,1.042,1.05,us,us70006q96,2020-03-07T17:47:53.040Z,"189 km W of Port McNeill, Canada",earthquake,5.7,1.8,0.038,66,reviewed,us,us
2019-12-23T19:49:43.086Z,50.6071,-129.9372,10,6,mww,,100,1.149,1.06,us,us70006q8n,2020-03-07T17:47:53.040Z,"201 km W of Port McNeill, Canada",earthquake,4.4,1.8,0.03,106,reviewed,us,us
2019-12-23T19:13:25.075Z,50.543,-129.8328,10,5.7,mww,,116,1.087,0.93,us,us70006q8f,2020-03-07T17:47:52.040Z,"194 km W of Port McNeill, Canada",earthquake,3.3,1.7,0.032,92,reviewed,us,us
2019-12-23T16:44:13.789Z,50.5667,-129.7193,10,5.2,mww,,147,1.907,0.59,us,us70006q6p,2020-03-07T17:47:51.040Z,"186 km W of Port McNeill, Canada",earthquake,2.4,1.9,0.039,62,reviewed,us,us
2019-12-12T12:25:34.101Z,30.7213,-114.3417,10,4.6,mb,,139,1.019,1.22,us,us60006qim,2020-03-04T21:26:56.040Z,"58 km SE of San Felipe, Mexico",earthquake,3.9,1.9,0.111,24,reviewed,us,us
